typed_response,target_response,typed_det,typed_stem,typed_ending
something plimool,dap plimok,unmappable no match: something,correct,"('big', 'p')"
something sordauk,ked naosool,unmappable no match: something,unmappable no match: sord,unmappable no match: auk
something carmoon,dap frusok,unmappable no match: something,unmappable no match: carm,unmappable no match: oon
jeb something,lom zeevesh,couldn't,parse,syllables
something something,ked pavool,couldn't,parse,syllables
something vinesh,dap roozok,unmappable no match: something,unmappable no match: vin,"('small', 's')"
something something,jeb kredaaf,couldn't,parse,syllables
something sardoul,dap naosok,unmappable no match: something,unmappable no match: sard,unmappable no match: oul
something glimesh,ked glarmool,unmappable no match: something,unmappable no match: glim,"('small', 's')"
something chardoke,ked chagool,unmappable no match: something,unmappable no match: chard,unmappable no match: oke
something something,dap pavok,couldn't,parse,syllables
something charduak,ked zoutool,unmappable no match: something,unmappable no match: chard,unmappable no match: uak
something something,lom tamesh,couldn't,parse,syllables
something glimesh,lom hullesh,unmappable no match: something,unmappable no match: glim,correct
something something,ked pumool,couldn't,parse,syllables
something stamool,ked stamool,unmappable no match: something,correct,correct
something something,lom buresh,couldn't,parse,syllables
something sveefan,lom heefesh,unmappable no match: something,unmappable no match: sveef,unmappable no match: an
something something,ked vorool,couldn't,parse,syllables
keb stamoke,dap stamok,unmappable no match: keb,correct,unmappable no match: oke
something something,dap vorok,couldn't,parse,syllables
something something,ked teepool,couldn't,parse,syllables
something sefaath,lom bepesh,unmappable no match: something,unmappable no match: sef,unmappable no match: aath
something mardouk,dap foudok,unmappable no match: something,unmappable no match: mard,unmappable no match: ouk
something chardauk,dap zoutok,unmappable no match: something,unmappable no match: chard,unmappable no match: auk
something something,dap monok,couldn't,parse,syllables
ked tharbook,ked thebool,correct,unmappable no match: tharb,unmappable no match: ook
something something,jeb zimbaaf,couldn't,parse,syllables
something staxok,ked pexool,unmappable no match: something,unmappable no match: stax,"('big', 's')"
something sveefan,jeb heefaaf,unmappable no match: something,unmappable no match: sveef,unmappable no match: an
something someting,lom chetesh,unmappable no match: something,unmappable no match: som,unmappable no match: eting
something svinesh,jeb zeevaaf,unmappable no match: something,unmappable no match: svin,"('small', 's')"
something something,dap pexok,couldn't,parse,syllables
something something,dap skunok,couldn't,parse,syllables
something beefath,lom biffesh,unmappable no match: something,unmappable no match: beef,unmappable no match: ath
something something,jeb buraaf,couldn't,parse,syllables
something sarmook,ked frusool,unmappable no match: something,unmappable no match: sarm,unmappable no match: ook
something glimesh,jeb hullaaf,unmappable no match: something,unmappable no match: glim,"('small', 's')"
something something,lom sibesh,couldn't,parse,syllables
something something,jeb tamaaf,couldn't,parse,syllables
something someting,ked monool,unmappable no match: something,unmappable no match: som,unmappable no match: eting
something plimook,ked plimool,unmappable no match: something,correct,unmappable no match: ook
something something,jeb sibaaf,couldn't,parse,syllables
somethink garnesh,dap glarmok,unmappable no match: somethink,unmappable no match: garn,"('small', 's')"
something something,lom tochesh,couldn't,parse,syllables
something something,lom zimbesh,couldn't,parse,syllables
something glinesh,jeb bepaaf,unmappable no match: something,unmappable no match: glin,"('small', 's')"
something starbool,ked sarbool,unmappable no match: something,unmappable no match: starb,correct
something something,ked skunool,couldn't,parse,syllables
something something,dap pumok,couldn't,parse,syllables
something chardauk,dap chagok,unmappable no match: something,unmappable no match: chard,unmappable no match: auk
something something,lom kredesh,couldn't,parse,syllables
something mardauk,ked foudool,unmappable no match: something,unmappable no match: mard,unmappable no match: auk
something something,jeb chetaaf,couldn't,parse,syllables
something veroon,ked roozool,unmappable no match: something,unmappable no match: ver,unmappable no match: oon
ted tamoke,dap thebok,unmappable no match: ted,small training,unmappable no match: oke
jeb sardok,jeb skunok,correct,unmappable no match: sard,correct
jeb paumok,jeb foudok,correct,unmappable no match: paum,correct
ped skamok,ked sibesh,unmappable no match: ped,unmappable no match: skam,"('big', 's')"
jeb ,ked heefesh,couldn't,parse,syllables
something glarmool,dap glarmool,unmappable no match: something,correct,correct
lamb something,lom chetaaf,couldn't,parse,syllables
jeb glarmok,jeb glarmok,correct,correct,correct
lamb something,lom biffaaf,couldn't,parse,syllables
lamb something,lom heefaaf,couldn't,parse,syllables
dep gilmok,ked zimbesh,unmappable no match: dep,unmappable no match: gilm,"('big', 's')"
lamb something,dap pavool,couldn't,parse,syllables
jeb something,ked buresh,couldn't,parse,syllables
dep something,ked chetesh,couldn't,parse,syllables
?,lom buraaf,couldn't,parse,syllables
jeb zaudok,jeb zoutok,correct,unmappable no match: zaud,correct
lamb sardool,dap pumool,unmappable no match: lamb,unmappable no match: sard,correct
lamb something,dap skunool,couldn't,parse,syllables
jeb larmok,jeb chagok,correct,unmappable no match: larm,correct
lamb sardool,lom hullaaf,unmappable no match: lamb,unmappable no match: sard,"('big', 'p')"
jeb something,ked bepesh,couldn't,parse,syllables
lamb z____,dap vorool,couldn't,parse,syllables
dep something,ked tamesh,couldn't,parse,syllables
lamb garmool,lom kredaaf,unmappable no match: lamb,unmappable no match: garm,"('big', 'p')"
?,dap zoutool,couldn't,parse,syllables
?,dap thebool,couldn't,parse,syllables
jeb something,jeb thebok,couldn't,parse,syllables
lamb sardool,dap stamool,unmappable no match: lamb,unmappable no match: sard,correct
lamb zardool,dap frusool,unmappable no match: lamb,unmappable no match: zard,correct
?,dap roozool,couldn't,parse,syllables
dep harmek,jeb pumok,unmappable no match: dep,unmappable no match: harm,unmappable no match: ek
jeb,ked kredesh,"('big', 'p')",unmappable no match: jeb,unmappable no match: 
jeb tremok,ked tochesh,"('big', 'p')",unmappable no match: trem,"('big', 's')"
dep hardok,ked hullesh,unmappable no match: dep,unmappable no match: hard,"('big', 's')"
dep something,jeb plimok,couldn't,parse,syllables
dep something,jeb monok,couldn't,parse,syllables
lamb hardoosh,lom zimbaaf,unmappable no match: lamb,unmappable no match: hard,unmappable no match: oosh
lamb sardool,dap foudool,unmappable no match: lamb,unmappable no match: sard,correct
lamb pamool,lom tamaaf,unmappable no match: lamb,unmappable no match: pam,"('big', 'p')"
jeb parmok,jeb sarbok,correct,unmappable no match: parm,correct
dep z___,jeb vorok,couldn't,parse,syllables
?,jeb naosok,couldn't,parse,syllables
jeb sarmok,jeb pavok,correct,unmappable no match: sarm,correct
?,dap monool,couldn't,parse,syllables
lamb something,lom tochaaf,couldn't,parse,syllables
lamb hardool,dap chagool,unmappable no match: lamb,unmappable no match: hard,correct
lamb tarmool,dap pexool,unmappable no match: lamb,unmappable no match: tarm,correct
lamb something,dap naosool,couldn't,parse,syllables
lamb sardool,dap sarbool,unmappable no match: lamb,unmappable no match: sard,correct
dep teapok,jeb teepok,unmappable no match: dep,unmappable no match: teap,correct
jeb something,ked biffesh,couldn't,parse,syllables
dep soemething,jeb pexok,unmappable no match: dep,unmappable no match: soem,unmappable no match: ething
dep garmok,jeb stamok,unmappable no match: dep,unmappable no match: garm,correct
?,dap plimool,couldn't,parse,syllables
jeb zarmok,jeb frusok,correct,unmappable no match: zarm,correct
lamb tramesch,lom zeevaaf,unmappable no match: lamb,unmappable no match: tram,unmappable no match: esch
?,lom sibaaf,couldn't,parse,syllables
dep ,jeb roozok,couldn't,parse,syllables
dep tremesh,ked zeevesh,unmappable no match: dep,unmappable no match: trem,correct
lamb teepool,dap teepool,unmappable no match: lamb,correct,correct
?,lom bepaaf,couldn't,parse,syllables
